Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,25.9057,25.2212,24.754,24.4163,24.0427,23.7164,23.3106,22.8082,22.3297,21.8138
angola,112.0924,104.5299,97.6173,91.4093,85.9629,81.4756,77.8083,74.5311,71.4002,68.7266
benin,104.1419,101.8672,99.674,97.4949,95.2579,93.0429,90.9626,88.8141,86.5602,84.1833
botswana,32.0449,33.8503,34.0805,33.9973,35.2242,37.5374,39.8898,40.1122,39.3883,37.9751
burkina faso,116.4422,111.593,107.1987,103.1018,99.1974,95.5296,92.0472,88.8167,85.8099,82.7411
burundi,84.3292,79.0227,74.0083,69.5635,65.5449,61.9468,58.9774,56.3108,53.8729,51.724
cameroon,102.2639,98.3741,94.3273,90.1097,86.0079,81.785,78.0011,74.4714,71.3249,68.7345
cape verde,23.7639,22.7734,21.6183,20.3219,18.9713,17.6191,16.3457,15.201,14.2216,13.4222
central african republic,140.5374,136.5198,132.4852,128.8723,124.5374,120.0143,114.799,110.8326,107.6259,103.6993
chad,140.4814,136.624,132.7746,129.129,125.5679,121.9849,118.3002,114.4515,110.6021,106.8835
comoros,78.1174,75.6956,73.1739,70.9084,68.5429,66.1554,63.9643,61.7951,59.7261,57.6683
congo,57.3622,55.5339,53.9949,52.7611,51.359,49.5985,48.0924,46.5157,45.0227,43.6502
d.r congo,106.6749,102.9287,99.5827,96.0908,92.9157,89.6958,86.6071,83.6077,80.6771,77.8647
djibouti,70.1892,67.9502,65.8976,63.7278,61.7082,59.7277,57.7921,55.9237,54.1032,52.3848
egypt,27.2237,26.003,24.8572,23.818,22.8712,21.9795,21.1415,20.4248,19.7158,18.9959
equitorial guinea,104.2113,100.5765,97.0268,93.7105,90.4626,87.1992,84.0515,81.1881,78.4231,75.7731
eritrea,48.683,46.8105,45.0443,43.4214,41.8908,40.5085,39.1107,37.7901,36.4487,35.1876
ethiopia,74.0745,69.9401,66.0266,62.2976,58.8865,55.5781,52.4483,49.6795,47.1363,44.9321
gabon,56.3754,54.1673,51.9092,49.6836,47.4395,45.1296,42.31,40.6055,39.191,38.1764
gambia,67.2094,64.4159,61.7975,59.3411,56.9683,54.7206,52.6115,50.612,48.7029,46.8542
ghana,62.8069,59.8202,56.8847,54.1609,51.6384,49.2271,47.0346,44.9231,43.0617,41.3817
guinea,111.2548,108.9242,106.7088,104.6337,103.2418,101.3867,98.8324,96.9645,94.9547,92.7019
guinea bissau,105.065,99.8358,95.1379,90.8459,87.0105,83.7453,80.4876,77.7043,75.0531,72.2983
ivory coast,96.1551,93.1825,90.3721,87.3561,84.307,81.5355,79.1321,76.6475,73.9444,71.1176
kenya,53.3918,51.6098,50.1665,48.4462,46.9452,45.3593,43.6901,42.367,40.5963,39.2226
lesotho,89.9347,88.3071,87.8354,86.8416,86.3636,86.2962,82.6777,80.9165,78.9821,78.8789
liberia,93.7282,91.0008,88.819,87.0607,87.631,84.1967,82.6928,81.3579,79.9564,78.2302
libya,14.81,15.8214,13.4592,12.8862,12.3578,11.9082,11.466,11.0428,10.7071,10.3644
madagascar,63.0177,60.691,58.5344,56.5199,54.6813,52.9051,51.0855,49.2988,47.5631,45.9932
malawi,78.1033,72.1073,65.0416,58.0502,52.4659,48.4477,44.9177,42.0131,39.2269,37.1501
mali,123.7653,119.2282,114.7512,110.5339,106.4416,102.5422,98.749,95.2292,91.7417,88.3868
mauritiania,89.2852,86.6004,83.9396,81.5458,78.9991,76.2795,73.859,71.5279,69.0039,66.8489
mauritius,13.0199,13.1718,13.4246,13.51,13.3039,13.0685,13.083,13.3869,13.8671,14.426
morocco,28.6565,27.3577,26.1281,24.9325,23.8107,22.7247,21.7157,20.7956,19.9751,19.222
mozambique,99.5307,95.2767,91.1741,87.3085,84.2709,80.4937,76.9059,74.5343,72.2279,69.5359
namibia,45.2388,45.932,47.6158,45.5913,43.8127,43.5879,42.0911,40.479,39.2507,38.5061
niger,117.9019,110.5567,104.3387,98.9649,94.2951,90.1014,86.2208,82.7,79.4048,76.4937
Nigeria,128.2918,126.054,124.1134,122.4247,121.0499,119.6988,117.9791,115.9992,113.339,110.3993
Rwanda,59.2098,52.8085,47.8458,43.7067,40.4689,37.8476,35.7002,33.9566,32.5603,31.0584
Sao tome and Principe,40.8216,38.3693,36.1321,34.2797,32.6035,31.0751,29.8545,28.6145,27.5474,26.5171
Senegal,61.4393,58.212,55.3123,52.773,50.4282,48.2313,46.2216,44.4051,42.7185,41.1247
Seychelles,12.8948,13.0118,13.1322,13.2627,13.3743,13.4838,13.5223,13.4445,13.2653,13.0222
Sierra Leone,153.3798,146.1214,139.3131,133.0101,130.8925,131.6601,116.6889,111.8053,107.1853,102.9312
Somalia,148.9593,144.496,139.8575,135.1066,130.5621,126.1556,121.9089,117.8617,113.9514,110.614
South africa,47.75,41.4796,37.6397,35.9659,34.9277,33.9741,33.0669,32.5184,31.9419,31.4143
south sudan,101.593,96.8847,93.4501,91.6718,91.2526,91.2082,91.1714,91.3074,91.2541,91.4692
sudan,69.3827,67.4798,65.6851,63.9094,62.1139,60.358,58.6053,56.8526,54.9587,53.2233
Togo,81.3593,78.9486,76.5957,74.2639,72.019,69.8576,67.7335,65.5978,63.4494,61.3325
Tunisia,16.7622,16.4202,16.1535,15.948,15.7744,15.6563,15.5938,15.5645,15.5024,15.3705
Uganda,70.141,65.9353,61.2882,57.1673,53.5885,50.5364,47.4876,45.101,42.9075,40.9553
Zambia,73.5143,71.3085,69.3037,66.8692,64.2443,63.0506,61.1514,59.0842,58.1219,56.6104
Zimbabwe,81.3602,75.3798,67.9789,62.2508,58.9232,56.6957,54.2093,52.9993,50.7457,49.6199
